value,pan_degree,tilt_degree
23.0,37.0,20.0
44.0,38.0,20.0
133.0,39.0,20.0
240.0,40.0,20.0
270.0,41.0,20.0
271.0,42.0,20.0
295.0,43.0,20.0
284.0,44.0,20.0
295.0,45.0,20.0
287.0,46.0,20.0
52.0,47.0,20.0
9.0,48.0,20.0
151.0,10.0,0.0
126.0,11.0,0.0
159.0,12.0,0.0
137.0,13.0,0.0
130.0,14.0,0.0
143.0,15.0,0.0
135.0,16.0,0.0
147.0,17.0,0.0
140.0,18.0,0.0
137.0,19.0,0.0
149.0,20.0,0.0
131.0,21.0,0.0
131.0,22.0,0.0
178.0,23.0,0.0
116.0,24.0,0.0
131.0,25.0,0.0
185.0,26.0,0.0
232.0,27.0,0.0
266.0,28.0,0.0
322.0,29.0,0.0
276.0,30.0,0.0
283.0,31.0,0.0
318.0,32.0,0.0
278.0,33.0,0.0
277.0,34.0,0.0
293.0,35.0,0.0
278.0,36.0,0.0
283.0,37.0,0.0
274.0,38.0,0.0
269.0,39.0,0.0
297.0,40.0,0.0
271.0,41.0,0.0
267.0,42.0,0.0
321.0,43.0,0.0
309.0,44.0,0.0
203.0,45.0,0.0
191.0,46.0,0.0
141.0,47.0,0.0
159.0,48.0,0.0
162.0,49.0,0.0
149.0,50.0,0.0
155.0,50.0,5.0
184.0,49.0,5.0
152.0,48.0,5.0
133.0,47.0,5.0
162.0,46.0,5.0
115.0,45.0,5.0
114.0,44.0,5.0
131.0,43.0,5.0
132.0,42.0,5.0
159.0,41.0,5.0
299.0,40.0,5.0
300.0,39.0,5.0
272.0,38.0,5.0
308.0,37.0,5.0
256.0,36.0,5.0
194.0,35.0,5.0
218.0,34.0,5.0
190.0,33.0,5.0
194.0,32.0,5.0
238.0,31.0,5.0
200.0,30.0,5.0
217.0,29.0,5.0
253.0,28.0,5.0
219.0,27.0,5.0
230.0,26.0,5.0
264.0,25.0,5.0
241.0,24.0,5.0
211.0,23.0,5.0
185.0,22.0,5.0
103.0,21.0,5.0
88.0,20.0,5.0
124.0,19.0,5.0
101.0,18.0,5.0
99.0,17.0,5.0
136.0,16.0,5.0
98.0,15.0,5.0
124.0,14.0,5.0
130.0,13.0,5.0
97.0,12.0,5.0
110.0,11.0,5.0
123.0,10.0,5.0
47.0,10.0,10.0
29.0,11.0,10.0
51.0,12.0,10.0
34.0,13.0,10.0
32.0,14.0,10.0
38.0,15.0,10.0
48.0,16.0,10.0
28.0,17.0,10.0
3.0,18.0,10.0
4.0,19.0,10.0
18.0,20.0,10.0
6.0,21.0,10.0
7.0,22.0,10.0
29.0,23.0,10.0
4.0,24.0,10.0
15.0,25.0,10.0
46.0,26.0,10.0
36.0,27.0,10.0
27.0,28.0,10.0
59.0,29.0,10.0
23.0,30.0,10.0
25.0,31.0,10.0
33.0,32.0,10.0
20.0,33.0,10.0
64.0,34.0,10.0
42.0,35.0,10.0
46.0,36.0,10.0
91.0,37.0,10.0
91.0,38.0,10.0
192.0,39.0,10.0
276.0,40.0,10.0
274.0,41.0,10.0
276.0,42.0,10.0
336.0,43.0,10.0
312.0,44.0,10.0
179.0,45.0,10.0
96.0,46.0,10.0
79.0,47.0,10.0
80.0,48.0,10.0
102.0,49.0,10.0
77.0,50.0,10.0
82.0,50.0,15.0
90.0,49.0,15.0
87.0,48.0,15.0
80.0,47.0,15.0
88.0,46.0,15.0
58.0,45.0,15.0
25.0,44.0,15.0
97.0,43.0,15.0
170.0,42.0,15.0
235.0,41.0,15.0
342.0,40.0,15.0
296.0,39.0,15.0
277.0,38.0,15.0
312.0,37.0,15.0
249.0,36.0,15.0
178.0,35.0,15.0
71.0,34.0,15.0
28.0,33.0,15.0
27.0,32.0,15.0
27.0,31.0,15.0
6.0,30.0,15.0
3.0,29.0,15.0
20.0,28.0,15.0
4.0,27.0,15.0
6.0,26.0,15.0
22.0,25.0,15.0
5.0,24.0,15.0
53.0,23.0,15.0
57.0,22.0,15.0
26.0,21.0,15.0
7.0,20.0,15.0
21.0,19.0,15.0
4.0,18.0,15.0
4.0,17.0,15.0
23.0,16.0,15.0
6.0,15.0,15.0
6.0,14.0,15.0
20.0,13.0,15.0
3.0,12.0,15.0
46.0,11.0,15.0
59.0,10.0,15.0
31.0,10.0,20.0
48.0,11.0,20.0
50.0,12.0,20.0
44.0,13.0,20.0
43.0,14.0,20.0
64.0,15.0,20.0
13.0,16.0,20.0
8.0,17.0,20.0
3.0,18.0,20.0
5.0,19.0,20.0
16.0,20.0,20.0
2.0,21.0,20.0
5.0,22.0,20.0
21.0,23.0,20.0
9.0,24.0,20.0
21.0,25.0,20.0
65.0,26.0,20.0
48.0,27.0,20.0
7.0,28.0,20.0
22.0,29.0,20.0
5.0,30.0,20.0
3.0,31.0,20.0
16.0,32.0,20.0
3.0,33.0,20.0
13.0,34.0,20.0
21.0,35.0,20.0
14.0,36.0,20.0
23.0,37.0,20.0
74.0,38.0,20.0
151.0,39.0,20.0
261.0,40.0,20.0
269.0,41.0,20.0
276.0,42.0,20.0
298.0,43.0,20.0
297.0,44.0,20.0
281.0,45.0,20.0
205.0,46.0,20.0
33.0,47.0,20.0
8.0,48.0,20.0
67.0,49.0,20.0
64.0,50.0,20.0
66.0,50.0,25.0
90.0,49.0,25.0
82.0,48.0,25.0
75.0,47.0,25.0
91.0,46.0,25.0
68.0,45.0,25.0
27.0,44.0,25.0
16.0,43.0,25.0
3.0,42.0,25.0
122.0,41.0,25.0
222.0,40.0,25.0
211.0,39.0,25.0
223.0,38.0,25.0
264.0,37.0,25.0
207.0,36.0,25.0
155.0,35.0,25.0
120.0,34.0,25.0
47.0,33.0,25.0
18.0,32.0,25.0
26.0,31.0,25.0
10.0,30.0,25.0
3.0,29.0,25.0
23.0,28.0,25.0
3.0,27.0,25.0
6.0,26.0,25.0
20.0,25.0,25.0
3.0,24.0,25.0
5.0,23.0,25.0
56.0,22.0,25.0
30.0,21.0,25.0
12.0,20.0,25.0
19.0,19.0,25.0
2.0,18.0,25.0
23.0,17.0,25.0
18.0,16.0,25.0
3.0,15.0,25.0
2.0,14.0,25.0
25.0,13.0,25.0
5.0,12.0,25.0
6.0,11.0,25.0
64.0,10.0,25.0
